META_TITLE: kstukb
META_SOURCE_FILE: kstukb.xlsx
META_DOMAIN: programs
META_SHEET: PREREQUISITESDOCTORALPROGRAMS

TABLE_1:
ROW: Перечень пререквизитов для поступающих в докторантуру научно-педагогического и профильного направлений на 2026-2027 учебный год.
ROW: Источник: https://www.kstu.kz/wp-content/uploads/2022/07/Prerekvizity-doktorantury-na-2026-2027-uchebnyj-god.pdf
ROW: № | Образовательная программа | Пререквизиты | Кредиты
ROW: 1 | 8D07103 — Электроэнергетика | Программные средства и технологии моделирования / Идентификация и моделирование систем / Теория эксперимента | 5
ROW: 2 | 8D07103 — Электроэнергетика | Современные теории, методы и средства создания систем автоматизации и управления / Энергосберегающие технологии в электроэнергетике и автоматизации | 5
ROW: 3 | 8D07103 — Электроэнергетика | Языки программирования промышленных контроллеров / Программирование промышленных контроллеров / Автоматизация электротехнических комплексов | 5
ROW: 4 | 8D07103 — Электроэнергетика | Системы управления электроприводами / Идентификация и моделирование систем / Теория эксперимента | 5
ROW: 5 | 8D07104 — Электроэнергетика (профильная) | Программные средства и технологии моделирования / Идентификация и моделирование систем / Теория эксперимента | 5
ROW: 6 | 8D07104 — Электроэнергетика (профильная) | Современные теории, методы и средства создания систем автоматизации и управления / Энергосберегающие технологии в электроэнергетике и автоматизации | 5
ROW: 7 | 8D07104 — Электроэнергетика (профильная) | Языки программирования промышленных контроллеров / Программирование промышленных контроллеров / Автоматизация электротехнических комплексов | 5
ROW: 8 | 8D07104 — Электроэнергетика (профильная) | Системы управления электроприводами / Идентификация и моделирование систем / Теория эксперимента | 5
ROW: 9 | 8D07101 — Машиностроение | Прогрессивные технологии в машиностроении | 5
ROW: 10 | 8D07101 — Машиностроение | Компьютерные технологии в машиностроении | 5
ROW: 11 | 8D07105 — Инновационное машиностроение (профильная) | Прогрессивные технологии в машиностроении | 5
ROW: 12 | 8D07105 — Инновационное машиностроение (профильная) | Компьютерные технологии в машиностроении | 5
ROW: 13 | 8D07106 — Технологические машины и оборудование | Проектирование технологических машин и оборудования (горнодобывающей отрасли) | 5
ROW: 14 | 8D07106 — Технологические машины и оборудование | Научные основы производства, эксплуатации и ремонта технологических машин | 5
ROW: 15 | 8D07203 — Металлургия | Современные технологии и оборудование в металлургии | 5
ROW: 16 | 8D07203 — Металлургия | Планирование и обработка результатов эксперимента | 5
ROW: 17 | 8D07207 — Перспективные металлургические технологии (профильная) | Общая металлургия | 5
ROW: 18 | 8D07207 — Перспективные металлургические технологии (профильная) | Планирование и обработка результатов эксперимента | 5
ROW: 19 | 8D07102 — Транспорт, транспортная техника и технологии | Техническая эксплуатация транспортной техники | 5
ROW: 20 | 8D07102 — Транспорт, транспортная техника и технологии | Методы экспериментальной обработки данных | 5
ROW: 21 | 8D07107 — Инновации на транспорте (профильная) | Техническая эксплуатация транспортной техники | 5
ROW: 22 | 8D07107 — Инновации на транспорте (профильная) | Методы экспериментальной обработки данных | 5
ROW: 23 | 8D07202 — Горное дело | Практическая геомеханика | 5
ROW: 24 | 8D07202 — Горное дело | Поддержание горных выработок | 5
ROW: 25 | 8D07202 — Горное дело | Управление научно-инновационной деятельности | 5
ROW: 26 | 8D07205 — Горная инженерия (профильная) | Практическая геомеханика | 5
ROW: 27 | 8D07205 — Горная инженерия (профильная) | Поддержание горных выработок | 5
ROW: 28 | 8D07205 — Горная инженерия (профильная) | Управление научно-инновационной деятельности | 5
ROW: 29 | 8D07206 — Маркшейдерское дело | Маркшейдерское дело | 5
ROW: 30 | 8D07206 — Маркшейдерское дело | Геоинформационные системы в горном деле | 5
ROW: 31 | 8D07206 — Маркшейдерское дело | Геомеханика | 5
ROW: 32 | 8D07208 — Маркшейдерское дело (профильная) | Маркшейдерское дело | 5
ROW: 33 | 8D07208 — Маркшейдерское дело (профильная) | Геоинформационные системы в горном деле | 5
ROW: 34 | 8D07208 — Маркшейдерское дело (профильная) | Геомеханика | 5
ROW: 35 | 8D07201 — Геология и разведка месторождений полезных ископаемых | Спецкурс минералогии | 5
ROW: 36 | 8D07201 — Геология и разведка месторождений полезных ископаемых | Геология и геохимия твердых полезных ископаемых | 5
ROW: 37 | 8D07204 — Геология и разведка месторождений полезных ископаемых (профильная) | Спецкурс минералогии | 5
ROW: 38 | 8D07204 — Геология и разведка месторождений полезных ископаемых (профильная) | Геология и геохимия твердых полезных ископаемых | 5
ROW: 39 | 8D07301 — Строительство | Методология научных исследований в области строительства | 5
ROW: 40 | 8D07301 — Строительство | Геотехнические проблемы строительства | 6
ROW: 41 | 8D07301 — Строительство | Современные методы расчета оснований и фундаментов | 5
ROW: 42 | 8D07303 — Строительный инжиниринг (профильная) | Экспериментально-исследовательская деятельность | 4
ROW: 43 | 8D07303 — Строительный инжиниринг (профильная) | Геотехнические проблемы строительства | 6
ROW: 44 | 8D07303 — Строительный инжиниринг (профильная) | Современные методы расчета оснований и фундаментов | 5
ROW: 45 | 8D07302 — Производство строительных материалов, изделий и конструкций | Основы научных исследований | 5
ROW: 46 | 8D07302 — Производство строительных материалов, изделий и конструкций | Прогрессивные технологии строительных материалов и изделий | 5
ROW: 47 | 8D07302 — Производство строительных материалов, изделий и конструкций | Модифицированные бетоны | 5
