META_TITLE: kstukb
META_SOURCE_FILE: kstukb.xlsx
META_DOMAIN: programs
META_SHEET: ОБРАЗОВАТЕЛЬНЫЕ ПРОГРАММЫ ДОКТО

TABLE_1:
ROW: ОБРАЗОВАТЕЛЬНЫЕ ПРОГРАММЫ ДОКТОРАНТУРЫ.
ROW: Источник: https://www.kstu.kz/wp-content/uploads/2025/07/Obrazovatelnye-programmy-doktorantury_RUS.pdf
ROW: Код и классификация области образования | Код и классификация направлений подготовки | Номер и наименование группы образовательных программ | Шифр и наименование образовательных программ
ROW: 8D07 Инженерные, обрабатывающие и строительные отрасли | 8D071 Инженерия и инженерное дело | D099 Энергетика и электротехника | 8D07103 Электроэнергетика
ROW: 8D07 Инженерные, обрабатывающие и строительные отрасли | 8D071 Инженерия и инженерное дело | D099 Энергетика и электротехника | 8D07104 Электроэнергетика (проф.)
ROW: 8D07 Инженерные, обрабатывающие и строительные отрасли | 8D071 Инженерия и инженерное дело | D103 Механика и металлообработка | 8D07101 Машиностроение
ROW: 8D07 Инженерные, обрабатывающие и строительные отрасли | 8D071 Инженерия и инженерное дело | D103 Механика и металлообработка | 8D07105 Инновационное машиностроение (проф.)
ROW: 8D07 Инженерные, обрабатывающие и строительные отрасли | 8D071 Инженерия и инженерное дело | D103 Механика и металлообработка | 8D07106 Технологические машины и оборудование (по отраслям)
ROW: 8D07 Инженерные, обрабатывающие и строительные отрасли | 8D071 Инженерия и инженерное дело | D104 Транспорт, транспортная техника и технологии | 8D07102 Транспорт, транспортная техника и технологии
ROW: 8D07 Инженерные, обрабатывающие и строительные отрасли | 8D071 Инженерия и инженерное дело | D104 Транспорт, транспортная техника и технологии | 8D07107 Инновации на транспорте (проф.)
ROW: 8D07 Инженерные, обрабатывающие и строительные отрасли | 8D072 Производственные и обрабатывающие отрасли | D116 Горная инженерия | 8D07202 Горное дело
ROW: 8D07 Инженерные, обрабатывающие и строительные отрасли | 8D072 Производственные и обрабатывающие отрасли | D116 Горная инженерия | 8D07205 Горная инженерия (проф.)
ROW: 8D07 Инженерные, обрабатывающие и строительные отрасли | 8D072 Производственные и обрабатывающие отрасли | D117 Металлургическая инженерия | 8D07203 Металлургия
ROW: 8D07 Инженерные, обрабатывающие и строительные отрасли | 8D072 Производственные и обрабатывающие отрасли | D117 Металлургическая инженерия | 8D07207 Перспективные металлургические технологии (проф.)
ROW: 8D07 Инженерные, обрабатывающие и строительные отрасли | 8D072 Производственные и обрабатывающие отрасли | D120 Маркшейдерское дело | 8D07206 Маркшейдерское дело
ROW: 8D07 Инженерные, обрабатывающие и строительные отрасли | 8D072 Производственные и обрабатывающие отрасли | D120 Маркшейдерское дело | 8D07208 Маркшейдерское дело (проф.)
ROW: 8D07 Инженерные, обрабатывающие и строительные отрасли | 8D072 Производственные и обрабатывающие отрасли | D121 Геология | 8D07201 Геология и разведка месторождений полезных ископаемых
ROW: 8D07 Инженерные, обрабатывающие и строительные отрасли | 8D072 Производственные и обрабатывающие отрасли | D121 Геология | 8D07204 Геология и разведка месторождений полезных ископаемых (проф.)
ROW: 8D07 Инженерные, обрабатывающие и строительные отрасли | 8D073 Архитектура и строительство | D124 Строительство | 8D07301 Строительство
ROW: 8D07 Инженерные, обрабатывающие и строительные отрасли | 8D073 Архитектура и строительство | D124 Строительство | 8D07303 Строительный инжиниринг (проф.)
ROW: 8D07 Инженерные, обрабатывающие и строительные отрасли | 8D073 Архитектура и строительство | D125 Производство строительных материалов, изделий и конструкций | 8D07302 Производство строительных материалов, изделий и конструкций
