META_TITLE: kstukb
META_SOURCE_FILE: kstukb.xlsx
META_DOMAIN: scores
META_SHEET: 032-STU-Porogovye-bally-na-2025

TABLE_1:
ROW: Пороговые баллы на 2025-2026 год.
ROW: Примечание: Очное полное и очно-сокращенная форма обучения.
ROW: Источник: https://www.kstu.kz/wp-content/uploads/2023/02/032-STU-Porogovye-bally-na-2025-2026-uchebnyj-god.pdf
ROW: Номер | Группа образовательных программ | Очное полное, грант | Очное полное, платное | Очно-сокращенное, грант | Очно-сокращенное, платное | Учебный год
ROW: 1 | В044 Менеджмент и управление | 50 | 50 | 25 | 25 | 2025-2026
ROW: 2 | В045 Аудит и налогообложение | 50 | 50 | 25 | 25 | 2025-2026
ROW: 3 | В046 Финансы, экономика, банковское и страховое дело | 50 | 50 | 25 | 25 | 2025-2026
ROW: 4 | B047 Маркетинг и реклама | 50 | 50 | 25 | 25 | 2025-2026
ROW: 5 | В050 Биологические и смежные науки | 50 | 50 | 25 | 25 | 2025-2026
ROW: 6 | В057 Информационные технологии | 55 | 60 | 25 | 25 | 2025-2026
ROW: 7 | В058 Информационная безопасность | 60 | 60 | 25 | 25 | 2025-2026
ROW: 8 | В059 Коммуникации и коммуникационные технологии | 50 | 50 | 25 | 25 | 2025-2026
ROW: 9 | В060 Химическая инженерия и процессы | 50 | 50 | 25 | 25 | 2025-2026
ROW: 10 | В061 Материаловедение и технологии | 50 | 50 | 25 | 25 | 2025-2026
ROW: 11 | В062 Электротехника и энергетика | 50 | 50 | 25 | 25 | 2025-2026
ROW: 12 | В162 Теплоэнергетика | 50 | 50 | 25 | 25 | 2025-2026
ROW: 13 | В063 Электротехника и автоматизация | 50 | 50 | 25 | 25 | 2025-2026
ROW: 14 | B064 Механика и металлообработка | 50 | 50 | 25 | 25 | 2025-2026
ROW: 15 | В065 Транспортная техника и технологии | 50 | 50 | 25 | 25 | 2025-2026
ROW: 16 | В071 Горное дело и добыча полезных ископаемых | 50 | 50 | 25 | 25 | 2025-2026
ROW: 17 | В171 Металлургия | 50 | 50 | 25 | 25 | 2025-2026
ROW: 18 | В271 Нефтегазовое дело | 50 | 50 | 25 | 25 | 2025-2026
ROW: 19 | В073 Архитектура | 100 | 90 | 25 | 25 | 2025-2026
ROW: 20 | В074 Градостроительство, строительные работы и гражданское строительство | 50 | 50 | 25 | 25 | 2025-2026
ROW: 21 | В126 Транспортное строительство | 50 | 50 | 25 | 25 | 2025-2026
ROW: 22 | В075 Кадастр и землеустройство | 50 | 50 | 25 | 25 | 2025-2026
ROW: 23 | В076 Стандартизация, сертификация и метрология (по отраслям) | 50 | 50 | 25 | 25 | 2025-2026
ROW: 24 | B094 Санитарно-профилактические мероприятия | 50 | 50 | 25 | 25 | 2025-2026
ROW: 25 | В095 Транспортные услуги | 60 | 50 | 25 | 25 | 2025-2026
